time,content
66,"看得我好坚强"
66,"主题曲叫呜啊"
66,"宁死也不害人"
68,"善良的人，果然活不久"
68,"我什么时候上线"
68,"下一集就嫔了"
69,"看到标题就开始哭了"
70,"这标题难受啊皇后要吃盒饭了"
71,"皇后太可怜了"
72,"撒子歪理，善良的活得久的多了去了"
73,"我差不多也得领盒饭了"
74,"皇后这么善良，好可怜啊"
75,"皇后好惨啊"
75,"魏婴洛，朕求你赶快给朕的白月光报仇"
76,"历史上皇后保住了格格的"
78,"上面好多情节不是一般的扎心，心疼皇后"
79,"你也别想得到好处纯妃"
82,"甄姬开大了"
82,"想高贵妃了🌚"
84,"更新的超快"
84,"纯妃，我劝你善良！"
85,"喜欢这段念白"
86,"太后软弱无能"
87,"看第二遍了这集"
87,"皇后太苦了，那么好的人"
88,"看标题就知道皇后死了"
90,"怎么没把奶妈找出来问问"
90,"纯妃怎能如此歹毒？"
93,"好不容易有个好皇后，但没好运"
93,"皇后娘娘疯了"
93,"你不是一个人，你是一头猪"
94,"心有多少恩就有多少福"
94,"有文化底蕴啊"
94,"标题什么意思"
95,"都是大扑棱蛾子"
95,"听说你们想本宫了"
95,"这个孩子历史上是病死的"
95,"皇后好可怜啊"
95,"皇后一生太苦了"
96,"汗皇后要领盒饭了"
96,"想高贵妃了"
96,"高贵妃也没这俩娘们儿这么狠，要命"
96,"纯妃最后很惨"
97,"制作真心不错"
97,"标题不想看"
97,"可怜的皇后啊"
98,"皇后没有心机太善良了，唉"
99,"奶妈估计都死了"
99,"在看一遍，虐一遍"
99,"听说袁春望后来也变坏了？"
100,"高贵妃走后第八集想她"
101,"这个片头戏曲是高贵妃唱的吗"
101,"丧钟为谁而鸣"
101,"这个片头有点惊悚啊"
102,"袁玉婷太能吃了，本宫要把她送去辛者库刷马桶"
102,"本宫何时惹你了！"
102,"不是说了好人好报吗？叫我如何？"
102,"皇后命太苦了"
102,"乳娘呢？不是陪在孩子身边的吗？自己跑了也要处刑"
102,"每日一问尔晴死儿了吗纯妃死🐴了吗"
103,"要秘密立储还好点"
103,"大猪蹄子什么梗都在叫"
103,"标题让人不舒服"
103,"我就是没这个命啊，皇上，臣妾先走一步了"
103,"海兰察声音好听"
103,"是不是本宫要领盒饭了"
104,"没有一个人去查清楚，怎么能从意外呢！这种事情"
104,"就因为好所以才没有了好下场"
104,"养那么多人干啥吃的，没有一个进去抱娃娃"
104,"大猪蹄子，你的嘉庆还没出生呢"
104,"纯妃，我劝你善良，就算七阿哥死了，也轮不到你孩子"
104,"看吧，我一走准出大事"
105,"生三个，三个夭折！这是什么命？能活下去得多大勇气"
105,"璎珞一个人真的带不了这么多青铜了，大家来陪陪本宫吧"
105,"为什么要把孩子单独放一个大房间"
105,"我高可爱是第一"
105,"高贵妃在多好"
105,"即使本宫嫡子没有，纯妃你的孩子也不会继承大统的"
106,"纯妃不纯了，闲妃也不闲了"
106,"本宫受不了那么大的刺激了"
106,"呵呵呵呵呵呵呵本宫要走了你们会想本宫的对吗"
106,"完了，看标题皇后这集要挂啊"
106,"为什么今天没有预告啊，靠预告活着的啊"
106,"这集我不开心"
107,"多让皇后高兴几天都不得行嘛！"
107,"我终是真善美没有黑化，但失去所有任人欺凌毫无还击力"
107,"纯妃的儿子能长大吗？做了那么多孽"
107,"让我多活一集"
107,"皇上的孩子能活下来真不容易"
107,"题目亮了，本宫要去了，不要想我"
108,"纯妃你的盒饭热好了"
108,"本宫去追寻自由了"
108,"本宫的盒饭热好了吗"
108,"本宫要走了舍不得大家嘤嘤嘤"
108,"你孩子生几个死几个，我不相信你还能淡定"
108,"本宫身边真是完全不设防啊，一害一个准"
109,"其实皇上不表现的那么那皇后的儿子还好点"
109,"本宫要和七阿哥一起去领盒饭了"
109,"看标题就知道不简单啊"
109,"这标题不简单"
109,"这集要大虐了吗"
109,"本宫要走了舍不得大家嘤嘤嘤"
110,"好气哦，为什么要欺负这么善良的人"
110,"好了好了，标题说本宫要去了"
110,"是你你不杀吗失去了这么心爱的儿子"
110,"所以说你自己认为最好的朋友!才伤害你最深!"
110,"皇上也是🐷头为什么不查把人杀了还怎么查"
110,"看到标题我就哭了。不敢看"
111,"就算纯贵妃把皇后的儿子杀了，她的儿子也当不上太子"
111,"已备好纸巾"
111,"哇，冻冰的日子树是绿的"
111,"纯妃手上这么多条人命"
111,"做人太善良就会害了自己和身边人"
111,"好气哦，为什么要欺负这么善良的人"
112,"能不能对皇后好一点啊，看的人好心疼啊"
112,"本宫的盒饭热好没"
112,"别惦记纯妃的儿子有报应了，不仅没报应还娶了富恒女儿"
112,"纯妃娘娘，您的盒饭以热好，请速速来领，要不就凉了！"
112,"就算纯贵妃把皇后的儿子杀了，她的儿子也当不上太子"
112,"已备好纸巾"
113,"皇后这是一下子失去了三个孩子啊真是一入后宫深似海啊"
113,"明显有人要害皇后，大猪蹄子这都看不出来！"
113,"富察皇后：把本宫的盒饭热好了，本宫马上要用膳！"
113,"人不能太善良"
113,"善良也得有锋芒。不然就会这样被人欺负"
113,"本宫饿了先去领盒饭了"
114,"乳母不陪孩子吗大晚上的"
114,"皇上白着脸咬着牙说话的样子，聂远演的不错"
114,"上天总是欺负善良之人"
114,"本宫的盒饭热好了"
114,"皇后这是一下子失去了三个孩子啊真是一入后宫深似海啊"
114,"本宫饿了先去领盒饭了"
115,"历史上皇后的孩子里只有固伦和敬公主活了下来"
115,"纯妃来陪本宫吃盒饭"
115,"皇后死的时候30多岁那璎珞跟皇上在一起多少岁了？"
115,"本宫上辈子把养老院炸了吧！为何本宫的孩子都活不了。"
115,"两集好快呀"
115,"乳母不陪孩子吗大晚上的"
116,"纯妃背上太多条命会有报应的，比如冷宫"
116,"怪我太过善良"
116,"因为皇上是大猪蹄子，孩子多，是非多，少生几个就行了"
116,"感觉还是我最善良"
116,"纯妃不纯了娴妃也不闲了"
116,"这集本宫就要领盒饭了~有点舍不得"
117,"瘦迪瘦迪你看到这了吗？"
117,"叫你们不看紧一点，才有机会给本宫作妖"
117,"大早上怎多人"
117,"想哭.皇后太好了！"
117,"皇后的儿子好容易领盒饭"
117,"纯妃背上太多条命会有报应的，比如冷宫"
118,"我感觉我好厉害啊，这一天就看了17集"
118,"本宫总结出全是傅恒惹的祸他如果不把真相告诉纯也没事"
118,"这纯妃真厉害，一出手一个准"
118,"纯妃饭盒已热好，可以来吃了"
118,"璎珞回来就再也见不到容音了……这一走就是天人永隔"
118,"纯妃和娴妃的盒饭热一热！"
119,"孩子们，不是大吼大叫的戏就叫做演得好啊！"
119,"本宫去见高可爱了"
119,"最苦命的就是皇后娘娘了"
119,"璎珞对不起，我没能好好活下来"
119,"皇后这集哭死我了……看花絮才好点"
119,"为啥不让太医看看"
120,"富察皇后就是太善良了，善良的不懂得保护自己"
120,"做人善良真是没好下场啊"
120,"我发觉皇上是个傻子，皇后怀三孩子都没活，可能吗？"
120,"纯妃不会有好下场"
120,"这么多的巧合没有一个人怀疑真的是"
120,"本宫去见高可爱了"
121,"这么大点孩子也下得去手纯妃风筝线勒死你算轻的"
121,"纯妃请原地爆炸！"
121,"看到这标题觉得皇后活不过这集了"
121,"皇后要去了哭T﹏T"
121,"这很真实这种情况肯定会杀一批人的"
121,"富察皇后就是太善良了，善良的不懂得保护自己"
